id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B0HKJCZ98V,上海建国宾馆停车场,交通设施服务;停车场;公共停车场,150904,漕溪北路439号上海建国宾馆,121.438310,31.190055,,[],[],交通设施,上海市,上海市,徐汇区
B0H1HSS2DG,中国人民解放军海军特色医学中心停车场,交通设施服务;停车场;公共停车场,150904,淮海西路338号中国人民解放军海军特色医学中心,121.428445,31.201009,,[],[],交通设施,上海市,上海市,长宁区
B0HGAZZA5J,长峰中心地下停车场,交通设施服务;停车场;公共停车场,150904,延安西路1088号(近番禺路)长峰中心,121.431116,31.210954,,[],[],交通设施,上海市,上海市,长宁区
B00156XYWD,深发展公寓地上停车场,交通设施服务;停车场;公共停车场,150904,泰康路288号(打浦桥地铁站1号口步行80米),121.467855,31.207672,021-64672002,[],[],交通设施,上海市,上海市,黄浦区
B0H1FUFCOO,上海兴国丽笙宾馆停车场,交通设施服务;停车场;公共停车场,150904,兴国路78号上海兴国宾馆丽笙精选,121.433458,31.208532,,[],[],交通设施,上海市,上海市,长宁区
B0H26R1N4N,枫林国际中心Ⅱ停车场,交通设施服务;停车场;公共停车场,150904,枫林路与零陵路交叉口东南140米,121.458146,31.190640,,[],[],交通设施,上海市,上海市,徐汇区
B0H2G7U7F3,茶陵路-道路停车位,交通设施服务;停车场;路边停车场,150906,茶陵路日晖三村(大木桥路地铁站4号口步行360米),121.463382,31.196595,,[],[],交通设施,上海市,上海市,徐汇区
B0IG7SPZLI,幸福里地面停车场,交通设施服务;停车场;公共停车场,150904,幸福路与法华镇路交叉口北100米,121.431020,31.204141,,[],[],交通设施,上海市,上海市,长宁区
B0G0R5D6DK,汇金百货停车场,交通设施服务;停车场;公共停车场,150904,肇嘉浜路1000号汇金百货B3,121.440296,31.195754,,[],[],交通设施,上海市,上海市,徐汇区
B0HG7RKICC,上海电影广场地下停车场,交通设施服务;停车场;公共停车场,150904,漕溪北路595号上海电影广场,121.438642,31.187063,,[],[],交通设施,上海市,上海市,徐汇区
B0L6TS5DC3,美罗城地下停车场(入口),交通设施服务;停车场;停车场入口,150907,美罗城地下停车场,121.440482,31.193561,,[],[],交通设施,上海市,上海市,徐汇区
B0HAKUJAKN,友谊时代大厦停车场,交通设施服务;停车场;公共停车场,150904,肇嘉浜路159号友谊时代大厦,121.464633,31.202832,,[],[],交通设施,上海市,上海市,徐汇区
B0H6Z5TE5G,明申中心大厦停车场,交通设施服务;停车场;公共停车场,150904,凯旋路3131号(上海体育馆地铁站7号口步行480米),121.432382,31.181801,,[],[],交通设施,上海市,上海市,徐汇区
B0HGJZJ3WJ,云海大厦地下停车场,交通设施服务;停车场;公共停车场,150904,淮海中路1329号云海大厦(常熟路地铁站7号口步行160米),121.449211,31.211737,,[],[],交通设施,上海市,上海市,徐汇区
B0H6Z7ST9Z,中煌大厦停车场,交通设施服务;停车场;公共停车场,150904,中山南二路1007号中煌大厦,121.446181,31.180779,,[],[],交通设施,上海市,上海市,徐汇区
B0FFHGNNCU,东安花苑地面停车场,交通设施服务;停车场;公共停车场,150904,中山南二路777弄3-22号东安苍苑,121.456421,31.186328,,[],[],交通设施,上海市,上海市,徐汇区
B00156CSF5,上海体育场停车场,交通设施服务;停车场;公共停车场,150904,中山南二路1800号上海体育场,121.443964,31.180881,,[],[],交通设施,上海市,上海市,徐汇区
B0HGDU88J1,爱乐大厦停车场,交通设施服务;停车场;公共停车场,150904,零陵路629-631号爱乐大厦,121.446362,31.188177,,[],[],交通设施,上海市,上海市,徐汇区
